id,夫の回答,子の回答,回答子,就学状況,q1,q1.1,q2,q3,q4,q5,q6,q7,q8,q9,q10a1,q10a2_1,q10a2_2,q10a2_3,q10a2_4,q10a2_5,q10a2_6,q10a2_7,q10a2_n,q10b1,q10b2_1,q10b2_2,q10b2_3,q10b2_4,q10b2_5,q10b2_6,q10b2_7,q10b2_n,q11a,q11b,q11c,q11d,q11e,q12_1,q12_2,q12_3,q12_4,q12_5,q12_6,q12_7,q12_8,q12_9,q12_10,q12_11,q12_12,q12_13,q12_14,q12_n,q13_1,q13_2,q13_3,q13_4,q13_5,q13_6,q13_7,q13_8,q13_9,q13_10,q13_11,q13_12,q13_13,q13_14,q13_15,q13_16,q13_17,q13_18,q13_n,q14,q14.1,q14.2,q14.3,q14.4,q14.5,q14.6,q14.7,q14.8,q14.9,q14.10,q14.11,q14.12,q14.13,q14.14,q15,q15.1,q15.2,q15.3,q15.4,q15.5,q16,q17a,q17b,q18,q19,q20,q21,q22,q23,q24,q25,q26,q27,q27.1,q27.2,q28,q29,q29.1,q30,q31,q32,q32.1,q32.2,q33,q33.1,q33.2,q34,q34.1,q35,q36a,q36b,q36c,q36d,q37a,q37b,q37c,q37d,q38,q39a,q39b,q39c,q39d,q39e,q40a,q40b,q40c,q40d,q40e,q41a,q41b,q41c1,q41c2,q41c3,q41d1,q41d2,q41d3,q42a,q42b,q43a,q43b,q44a,q44b,q44c,q44d,q45a_1,q45a_2,q45a_3,q45a_4,q45a_5,q45a_6,q45a_7,q45a_8,q45a_9,q45a_n,q45b_1,q45b_2,q45b_3,q45b_4,q45b_5,q45b_6,q45b_7,q45b_8,q45b_9,q45b_n,q45c_1,q45c_2,q45c_3,q45c_4,q45c_5,q45c_6,q45c_7,q45c_8,q45c_9,q45c_n,q45d_1,q45d_2,q45d_3,q45d_4,q45d_5,q45d_6,q45d_7,q45d_8,q45d_9,q45d_n,q45e_1,q45e_2,q45e_3,q45e_4,q45e_5,q45e_6,q45e_7,q45e_8,q45e_9,q45e_n,q45f_1,q45f_2,q45f_3,q45f_4,q45f_5,q45f_6,q45f_7,q45f_8,q45f_9,q45f_n,q46a,q46b,q46c,q46d,q46e,q46f,q46g,q47,q48,q49a,q49b,q49c,q49d,q49e,q49f,q49g,q49h,q49i,q49j,q49k,q50a,q50b,q50c,q50d,q50e,q50f,q50g,q50h,q50i,q50j,q51,q52_1,q52_2,q52_3,q52_4,q52_5,q52_6,q52_n,q52.1,q52.2,q52.3,q52.4,q52.5,q53,q54,q54.1_1,q54.1_2,q54.1_3,q54.1_4,q54.1_5,q54.1_6,q54.1_7,q54.1_8,q54.1_9,q54.1_10,q54.1_11,q54.1_12,q54.1_13,q54.1_n,q55,q55.1,q56,q57,q58a,q58b,q58c,q58d,q58e,q59a,q59b,q59c,q59d,q59e,q59f,q59g,q60,q61.1a,q61.1b,q61.1c,q61.1d,q61.1e,q61.2a,q61.2b,q61.2c,q61.2d,q61.2e,q61.2f,q61.2g,q61.2h,q62,q63,q64_1,q64_2,q64_3,q64_4,q64_n,妻就業
8501,1,1,1,5,5,2,3,3,5,5,5,1,4,4,2,1,1,0,0,0,0,0,0,3,1,0,0,0,1,0,1,0,7,7,7,7,7,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,2,2,3,4,1,2,2, , , , ,1,1,3, , , , , , ,5,4,3,3,9,9,8,2,4,1,1,1,1,2, ,5,3, ,1,4,1,3,1,1,3,2,3,1,1,1,2,2,2,1,1,2,3,2,4,4,4,4,4,2,2,2,2,2,3,3,3,0,0,0,0,5,1,3,3,3,3,3,3,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,3,3,2,1,2,3,1,1,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,1,0,0,0,0,0,0,5000, , , , ,1,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,3,1,1,1,6,6,6,6,6,3,2,2,3,2,2,2,3,1,2,2,3,3,2,1,1,2,6,3,2,1,2,3,0,0,0,1,0,3
8502,1, , , ,1, ,4,1,5,5,5,9,1,3,2,1,0,0,0,0,1,0,0,3,1,0,0,0,0,1,1,0,7,7,7,7,6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2, , , , , , , , , , , , , , ,1,1,3,11,1,2,2,1,4,2,10,10,9,0,4,5,3,4,2, ,1,5,3, ,3,2,1,1,7,1,3,2,5, ,2,3,5,2,5,2,5,2,1,3,5,4,4,6,4,1,1,1,1,1,0,4,1,0,3,0,1,3,2,3,3,3,3,3,3,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,4,2,2,2,3,3,3,4,3,2,1,3,1,1,2,3,3,2,2,2,2,2,2,2,2,3,3,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,7,0,0,0,1,0,1
8503,1, , , ,3,7,4,6,5,5,5,2,3,1,4,1,0,1,1,0,1,0,0,3,1,0,0,1,0,1,0,0,7,7,5,7,7,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,5,2,5,6,1,2,2, , , , ,1,1,3, , , , , , ,2,3,1,2,6,6,7,5,4,4,1,1,1,2, ,5,3, ,3,4,1,2,7,1,2,6,1,1,2,6,2,6,4,6,2,6,3,2,4,6,4,6,7,1,1,4,3,7,4,0,0,1,2,0,0,2,1,1,3,4,4,7,4,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,2,2,2,2,1,3,3,2,2,3,2,2,2,4,3,1,4,1,3,1,4,4,1,4,3,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,0,0,0,1,0,2
8504,1,1,1,4,3,9,5,6,6,5,3,1,2,3,2,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,1,0,7,7,7,6,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,2,5,2,3,2,2, , , , ,1,1,3, , , , , , ,5,3,2,2,8,8,9,2,3,3,1,1,2, ,1,5,2,1,1,4,1,4,2,1,3,2,2,1,2,4,5,3,4,4,5,3,4,5,6,6,6,6,5,1,1,1,1,1,0,3,1,0,3,0,0,3,2,1,3,3,5,5,5,5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,2,2,3,2,2,2,2,3,3,2,3,3,2,1,1,4,4,1,4,1,2,2,2,2,2,3,3,2,1,3,1,0,0,0,0,0,0,2000, , , , ,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,2,5,5,6,6,6,2,2,2,3,3,3,2,2,1,3,6,3,6,5,3,4,4,6,7,5,6,5,2,7,0,1,0,0,0,2
8507,1,1,1,5,7,7,2,4,3,5,1,9,4,2,2,1,0,0,0,0,0,1,0,4,1,0,0,0,0,0,1,0,7,7,7,7,7,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,2,2,3,1,3,2,2, , , , ,1,3,3, , , , , , ,4,4,1,4,8,7,9,1,5,3,1,1,2, ,1,5,4, ,3,4,1,3,0,1,3,2,3,2,1,3,5,1,1,1,2,1,1,3,6,6,6,6,4,1,1,1,1,1,0,4,6,0,0,0,3,0,1,4,2,4,2,7,4,7,1,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,4,1,3,2,3,1,3,4,2,1,1,3,2,2,2,3,4,1,1,4,1,4,4,4,4,4,4,1,1,3,0,0,0,0,1,0,0, , , , ,10000,1,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,2,5,5,1,7,7,3,1,1,2,2,4,2,1,1,6,5,3,2,2,4,4,4,6,7,7,6,4,3,3,0,1,0,0,0,4
8509,1,1,1,3,1, ,5,1,5,5,5,10,4,4,2,1,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0,2,7,3,7,7,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2, , , , , , , , , , , , , , ,1,3,3,2,1,2,3,3,2,3,10,10,9,99,7,4,2,1,2, ,1,5,4, ,9,4,1,4,1,1,1,7,3,2,2,3,5,5,5,9,9,9,9,2,6,6,6,6,6,1,1,1,1,1,0,3,2,0,0,5,0,1,2,4,1,1,1,3,6,6,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,4,2,2,3,3,2,5,4,1,1,2,2,1,1,2,3,4,2,2,3,4,3,3,4,3,1,3,2,2,3,0,0,0,1,0,0,0, , , ,999999, ,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,2,2,6,2,5,7,1,2,2,4,2,3,2,2,2,2,4,3,6,5,3,1,3,6,6,6,5,5,6,7,0,0,0,1,0,1
8514,1, , , ,7,2,1,3,3,5,5,7,2,3,2,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,7,7,4,7,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,2,2,2,1,2,2, , , , ,1,1,3, , , , , , ,3,4,1,4,9,10,8,5,4,1,1,3,1,2, ,8,2,4,2,4,1,3,3,1,3,2,1,1,2,2,5,3,2,1,1,1,3,1,4,3,4,3,3,1,1,1,1,1,1,3,3,1,0,0,1,0,3,4,1,1,1,1,4,4,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4,4,4,1,1,1,3,3,1,4,3,1,2,1,4,4,1,4,1,1,1,3,4,2,4,2,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,0,1,0,0,0,4
8515,1,1,1,3,2,9,2,8,6,4,5,4,4,3,2,1,0,0,0,0,0,1,0,3,1,1,0,0,0,0,0,0,2,7,7,7,7,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,8,1,7,6,9,9,9, , , , , ,9,9, , , , , , ,2,4,3,2,4,5,6,6,6,1,4,4,1,1, ,6,3, ,5,4,1,4,2,1,4,4,1,1,1,1,4,3,4,1,3,3,4,5,1,1,3,1,1,1,1,4,2,1,3,6,1,0,2,0,0,4,1,1,4,3,7,4,3,4,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,9,2,1,1,1,1,3,1,2,2,1,1,1,2,3,2,2,1,1,1,1,1,1,1,3,3,1,3,0,0,0,0,1,0,0, , , , ,1000,1,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1,1,5,3,2,4,4,1,1,1,2,3,3,2,1,2,3,6,4,3,2,3,3,4,3,6,6,6,2,2,8,1,0,0,0,0,2
8520,1, , , ,5,7,2,2,5,5,5,9,2,3,2,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,1,0,7,7,4,6,6,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2, , , , , , , , , , , , , , ,2,3,3,2,1,1,5,3,1,3,8,9,9,4,3,1,2,3,2, ,1,3,4, ,1,2,1,3,2,1,3,2,2,1,2,1,5,3,4,1,5,3,5,5,6,6,6,6,3,1,1,1,1,1,2,1,3,5,1,5,1,0,2,1,1,1,1,2,3,3,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,4,3,3,1,1,2,3,2,2,2,2,1,2,2,3,4,1,3,1,2,1,3,3,1,2,2,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,7,1,0,0,0,0,3
8602,1,1,1,5,1, ,3,2,3,3,5,8,4,2,1,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,1,0,7,7,7,7,7,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2, , , , , , , , , , , , , , ,1,1,3,6,1,2,5,4,3,2,5,5,8,5,4,2,4,4,2, ,1,7,3, ,3,4,1,1,7,1,1,7,3,4,2,4,4,5,1,4,4,4,2,5,2,5,6,6,5,1,1,1,1,1,0,2,1,1,0,0,1,0,3,4,2,2,3,3,5,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,3,3,3,3,3,5,3,3,1,1,1,2,1,2,2,2,2,2,1,1,1,1,1,1,3,3,2,2,3,0,0,0,1,0,0,0, , , ,5000, ,4,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,4, ,2,5,6,1,6,6,1,3,3,4,4,4,3,2,5,1,2,2,3,3,1,1,1,3,4,4,4,3,2,5,0,0,0,1,0,1
8603,1, , , ,1, ,2,1,4,5,5,9,2,3,2,1,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,4,7,5,2,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2, , , , , , , , , , , , , , ,2,1,3,3,1,2,2,4,4,5,10,10,1,1,4,4,4,1,2, ,1,3,4, ,4,4,1,1,7,1,3,2,1,1,2,1,5,3,4,4,5,5,5,2,3,4,4,4,1,1,1,2,1,1,0,3,8,2,0,1,8,0,2,1,4,1,7,2,3,3,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,1,4,4,1,1,1,1,2,1,1,1,1,1,1,3,3,1,2,3,2,1,2,4,1,3,3,3,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,3,0,1,0,0,0,1
8605,1,1,2,5,5,7,3,3,6,4,5,1,3,4,3,1,0,0,0,1,0,0,0,4,1,0,0,0,1,0,0,0,7,7,7,7,7,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2,2,3,6,1,2,2, , , , ,1,3,3, , , , , , ,2,4,3,2,9,10,8,1,4,2,4,4,1,1, ,7,3, ,2,4,1,3,0,1,3,0,2,1,1,5,3,5,4,5,3,5,3,2,5,6,5,6,4,1,1,3,1,3,3,3,0,0,2,0,3,3,1,1,3,3,3,3,3,3,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,4,2,3,1,1,1,2,2,1,2,2,1,2,1,3,3,2,3,2,3,2,2,3,2,3,2,2,2,3,1,0,0,0,0,0,0,10000, , , , ,4,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,2,5,6,4,5,7,8,3,2,3,3,4,2,2,2,1,3,2,2,4,3,1,3,5,5,3,1,4,2,3,0,0,0,1,0,3
8612,1,1,1,3,1, ,2,1,4,4,5,9,2,1,2,1,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,7,7,7,7,7,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2, , , , , , , , , , , , , , ,1,1,3,2,2,1,2,4,4,2,10,10,10,1,4,4,1,1,2, ,1,5,3, ,1,4,1,3,0,1,3,3,1,1,2,2,5,5,5,2,3,5,3,5,6,6,6,6,5,1,1,1,1,1,0,6,2,1,2,0,0,9,1,4,3,3,3,3,3,3,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,4,3,4,1,1,1,1,1,2,2,2,1,1,1,2,3,2,2,2,2,2,3,3,3,2,2,2,2,3,0,0,0,0,0,1,0, , , , , ,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,2,5,6,1,5,4,1,4,2,4,4,4,2,2,2,6,6,4,6,3,6,4,3,6,7,6,3,3,2,4,1,0,0,0,0,1
8618,1, , , ,1, ,2,1,4,3,5,9,2,2,2,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,7,7,5,7,7,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,2, , , , , , , , , , , , , , ,1,1,3,2,1,1,5,1,1,3,10,10,9,1,4,3,1,1,2, ,1,7,1, ,1,2,1,3,1,1,3,1,3,9,2,3,5,2,1,2,5,3,5,2,6,6,6,6,5,1,1,1,1,1,0,7,0,0,0,4,0,0,1,1,1,1,1,1,2,7,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,3,1,2,2,1,5,5,2,2,1,1,2,3,2,2,4,1,3,2,2,2,2,3,2,2,2,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,3,0,0,0,1,0,1
8620,1,1,1,4,1, ,6,1,3,3,1,9,4,2,2,1,0,1,0,0,0,0,0,2,1,0,0,0,1,0,0,0,7,7,7,7,7,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2, , , , , , , , , , , , , , ,1,1,3,1,1,2,4,4,1,3,10,10,9,0,5,5,4,4,2, ,4,3,1, ,3,5,1,3,0,1,3,0,4, ,3,2,4,2,5,2,4,2,5,5,6,6,6,6,1,1,1,1,1,5,0,1,1,0,0,1,0,0,1,3,1,1,1,1,5,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,3,4,2,3,3,3,3,1,2,1,2,3,1,4,3,2,1,2,1,3,4,3,3,3,2,3,1,2,4,1,0,0,0,0,0,0,600, , , , ,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,3,3,3,4,7,5,5,5,8,2,2,1,1,1,2,1,2,2,4,3,6,1,2,4,3,6,6,5,7,1,4,3,0,0,0,1,0,1
8703,1,1,1,4,4,10,1,4,5,4,5,1,2,3,2,1,0,0,0,1,0,0,0,3,1,0,0,0,1,0,0,0,1,7,4,7,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,2,3,10,1,2,2, , , , ,1,1,3, , , , , , ,2,3,1,5,9,9,9,3,4,4,1,2,1,1, ,5,4, ,2,2,6, , ,1,3,1,1,1,2,2,4,3,5,2,4,5,5,1,6,6,6,6,6,1,1,1,1,1,0,4,4,0,0,0,0,2,2,4,3,3,1,1,3,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,3,1,3,1,1,1,3,4,4,1,2,1,1,1,2,3,1,4,1,1,1,1,2,2,1,1,1,1,2,1,0,0,0,0,0,0,1000, , , , ,1,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,2,5,7,7,6,7,5,4,4,2,2,3,2,2,2,6,6,4,6,6,6,6,4,6,6,3,2,6,2,3,0,0,1,0,0,3
8704,1, , , ,1, ,1,1,6,5,5,9,2,4,2,1,1,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,7,7,7,6,5,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2, , , , , , , , , , , , , , ,2,1,3,3,3,2,5,4,3,5,10,10,7,2,4,4,1,1,2, ,1,5,4, ,4,4,1,1,6,1,3,2,1,1,2,1,5,5,5,1,5,5,5,2,6,6,6,6,3,1,1,1,1,1,0,0,2,2,5,0,2,2,1,1,3,3,2,2,2,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3,3,2,2,1,1,3,1,1,1,1,1,2,2,3,3,2,2,2,2,2,3,3,2,2,3,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,7,1,0,0,0,0,1
8707,1,1,1,5,5,2,3,3,4,3,5,1,2,4,2,1,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0,7,7,4,7,7,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2,2,2,11,1,2,1,10,1,1, , ,1,3, , , , , , ,3,1,3,3,9,9,5,5,4,2,1,1,1,1, ,5,3, ,1,4,1,4,0,1,3,0,3,2,2,5,5,3,3,5,3,3,3,2,6,6,6,6,6,1,1,3,1,2,2,5,1,1,0,0,0,1,3,3,3,4,5,7,6,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,2,2,2,3,3,3,4,1,2,1,2,2,1,1,3,3,1,3,2,3,2,3,4,3,2,1,3,1,2,1,0,0,0,0,0,0,10000, , , , ,4,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,3,1,2,5,7,7,6,7,8,2,2,4,4,4,2,2,2,2,7,5,7,7,7,6,7,7,7,6,7,7,2,3,1,0,0,0,0,3
8708,1, , , ,7,5,2,5,4,6,5,8,3,4,3,1,0,0,0,1,0,0,0,2,0,0,0,0,1,0,1,0,7,7,7,7,7,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,5,2,3,11,2,2,2, , , , ,1,1,2, , , , , , ,2,4,3,2,9,10,9,1,3,3,3,3,1,1, ,4,2,2,5,4,1,1,5,1,2,2,2,1,1,4,3,4,3,4,2,5,4,2,6,6,6,5,6,1,1,1,1,5,2,3,2,0,1,3,0,0,2,2,1,4,4,7,7,7,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,2,4,4,1,2,2,2,3,2,2,2,3,2,3,1,3,3,2,3,2,2,1,2,3,2,3,3,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,0,0,0,1,0,4
8711,1, , , ,1, ,5,1,2,2,5,9,4,3,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,7,7,4,7,7,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2, , , , , , , , , , , , , , ,2,3,2,2,1,2,4,1,1,4,9,9,9,6,3,2,3,3,1,2, ,5,3, ,1,4,1,4,3,1,3,1,2,1,2,2,5,4,5,2,5,3,5,2,6,6,6,6,1,1,1,1,1,1,0,0,0,5,0,2,4,0,1,1,2,2,2,4,3,3,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,3,3,3,3,2,1,2,4,2,1,1,2,1,1,1,1,4,2,3,4,3,2,3,3,3,3,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,4,0,1,0,0,0,1
8716,1,1,1,3,1, ,2,1,4,4,5,9,4,3,2,1,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,7,7,7,7,7,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2, , , , , , , , , , , , , , ,1,1,3,2,1,2,3,4,2,3,10,10,9,1,4,4,4,1,2, ,1,5,2,1,1,2,1,1,7,1,1,4,2,2,2,3,3,3,2,2,3,2,2,5,6,6,6,6,4,1,1,1,1,1,0,5,8,2,1,2,0,0,1,3,1,1,2,2,4,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,4,2,2,2,3,2,3,1,1,1,1,1,2,1,2,1,1,4,1,4,2,4,2,2,1,1,1,1,2,1,0,0,0,0,0,0,1000, , , , ,4,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,3,1,1,5,7,7,7,7,6,3,3,2,1,1,1,2,3,6,5,3,6,4,6,1,3,6,5,6,5,4,3,3,1,1,0,0,0,1
